transit_timestamp,bus_route,ridership,transfers
03/07/2024 12:00:00 PM,BX12+,623,138
05/15/2022 02:00:00 PM,BX12+,799,144
12/09/2023 01:00:00 AM,BX12+,0,0
02/15/2021 11:00:00 AM,BX12+,584,121
03/08/2022 07:00:00 PM,BX12+,557,100
09/11/2021 06:00:00 AM,BX12+,277,32
02/01/2021 07:00:00 PM,BX12+,89,17
12/18/2024 09:00:00 AM,BX12+,768,171
06/04/2022 04:00:00 PM,BX12+,961,154
10/24/2021 02:00:00 AM,BX12+,0,0
07/24/2022 06:00:00 PM,BX12+,376,56
04/07/2024 06:00:00 AM,BX12+,93,12
11/10/2021 06:00:00 AM,BX12+,1215,157
06/30/2021 03:00:00 AM,BX12+,0,0
03/09/2022 09:00:00 AM,BX12+,881,197
11/10/2022 03:00:00 PM,BX12+,1236,237
12/17/2020 10:00:00 AM,BX12+,306,74
02/12/2021 07:00:00 AM,BX12+,1215,209
07/11/2023 05:00:00 AM,BX12+,174,13
07/24/2022 04:00:00 AM,BX12+,0,0
02/08/2022 10:00:00 AM,BX12+,774,175
08/01/2024 10:00:00 AM,BX12+,505,105
02/15/2022 04:00:00 PM,BX12+,1273,243
06/27/2022 05:00:00 AM,BX12+,158,14
11/01/2021 06:00:00 PM,BX12+,1009,184
06/22/2024 04:00:00 AM,BX12+,0,0
06/16/2022 12:00:00 PM,BX12+,882,164
12/25/2023 04:00:00 AM,BX12+,0,0
12/21/2020 12:00:00 PM,BX12+,884,185
06/11/2024 03:00:00 AM,BX12+,0,0
09/18/2023 12:00:00 AM,BX12+,1,0
06/10/2023 04:00:00 AM,BX12+,0,0
05/24/2022 08:00:00 AM,BX12+,1704,333
10/19/2024 06:00:00 PM,BX12+,428,67
01/23/2022 10:00:00 AM,BX12+,398,58
01/31/2021 04:00:00 PM,BX12+,547,80
11/02/2020 09:00:00 PM,BX12+,252,29
11/13/2020 11:00:00 PM,BX12+,28,3
11/22/2024 12:00:00 PM,BX12+,589,133
05/03/2022 07:00:00 AM,BX12+,1809,282
01/30/2024 06:00:00 AM,BX12+,684,113
02/08/2024 01:00:00 PM,BX12+,706,123
10/08/2024 08:00:00 AM,BX12+,1272,248
12/13/2023 11:00:00 AM,BX12+,643,154
10/01/2024 08:00:00 PM,BX12+,293,55
03/04/2023 06:00:00 AM,BX12+,245,29
07/18/2024 03:00:00 PM,BX12+,644,77
12/15/2022 04:00:00 AM,BX12+,0,0
01/03/2021 07:00:00 PM,BX12+,237,38
08/28/2024 12:00:00 AM,BX12+,0,0
06/05/2022 03:00:00 PM,BX12+,871,148
12/23/2024 06:00:00 PM,BX12+,372,87
10/08/2021 06:00:00 PM,BX12+,938,181
03/14/2024 12:00:00 AM,BX12+,0,0
10/29/2021 04:00:00 AM,BX12+,1,0
07/27/2023 01:00:00 AM,BX12+,0,0
06/20/2021 11:00:00 AM,BX12+,723,126
02/18/2024 03:00:00 AM,BX12+,1,1
11/16/2022 07:00:00 PM,BX12+,452,76
02/28/2023 09:00:00 PM,BX12+,200,23
09/28/2024 04:00:00 PM,BX12+,581,71
07/13/2022 07:00:00 PM,BX12+,630,113
10/11/2021 10:00:00 AM,BX12+,759,180
11/20/2024 12:00:00 AM,BX12+,0,0
03/17/2022 03:00:00 AM,BX12+,0,0
06/08/2022 11:00:00 AM,BX12+,830,160
04/19/2021 11:00:00 PM,BX12+,22,5
08/01/2023 02:00:00 AM,BX12+,0,0
07/24/2023 06:00:00 PM,BX12+,738,141
09/10/2022 11:00:00 PM,BX12+,39,11
08/05/2023 11:00:00 PM,BX12+,33,9
09/03/2023 05:00:00 PM,BX12+,556,85
10/21/2024 07:00:00 PM,BX12+,349,56
06/24/2022 07:00:00 AM,BX12+,1594,264
06/06/2024 09:00:00 AM,BX12+,635,136
06/01/2023 09:00:00 PM,BX12+,242,37
11/01/2020 10:00:00 PM,BX12+,80,14
03/18/2023 10:00:00 AM,BX12+,698,109
12/17/2022 02:00:00 PM,BX12+,1014,171
05/14/2024 02:00:00 PM,BX12+,731,130
05/18/2022 09:00:00 PM,BX12+,276,29
06/22/2023 08:00:00 PM,BX12+,371,63
09/15/2021 09:00:00 AM,BX12+,1184,260
02/26/2022 05:00:00 AM,BX12+,8,0
11/15/2024 03:00:00 PM,BX12+,768,161
07/30/2022 02:00:00 AM,BX12+,0,0
02/27/2023 04:00:00 AM,BX12+,0,0
11/11/2023 08:00:00 AM,BX12+,597,100
04/27/2021 11:00:00 AM,BX12+,778,159
05/27/2024 08:00:00 PM,BX12+,150,20
05/03/2021 01:00:00 AM,BX12+,0,0
09/13/2023 03:00:00 AM,BX12+,2,0
11/22/2022 09:00:00 PM,BX12+,205,29
05/22/2022 01:00:00 PM,BX12+,761,123
05/22/2024 12:00:00 AM,BX12+,0,0
01/22/2022 02:00:00 AM,BX12+,0,0
09/17/2021 06:00:00 PM,BX12+,984,178
01/23/2021 07:00:00 PM,BX12+,348,47
11/26/2022 09:00:00 AM,BX12+,631,107
03/10/2022 08:00:00 PM,BX12+,407,75
12/10/2022 02:00:00 AM,BX12+,0,0
11/16/2024 03:00:00 AM,BX12+,0,0
03/07/2023 10:00:00 AM,BX12+,833,183
12/19/2020 02:00:00 AM,BX12+,0,0
08/22/2023 12:00:00 PM,BX12+,679,167
08/02/2021 05:00:00 PM,BX12+,1255,236
10/01/2023 07:00:00 AM,BX12+,303,37
12/14/2021 02:00:00 AM,BX12+,0,0
05/31/2022 03:00:00 PM,BX12+,1287,244
06/26/2022 10:00:00 PM,BX12+,99,17
03/30/2022 10:00:00 AM,BX12+,753,160
01/24/2023 04:00:00 PM,BX12+,1218,236
08/08/2024 06:00:00 AM,BX12+,475,80
08/07/2024 04:00:00 AM,BX12+,0,0
12/05/2024 09:00:00 PM,BX12+,111,24
09/06/2024 12:00:00 PM,BX12+,735,97
09/11/2021 12:00:00 PM,BX12+,934,181
04/10/2021 11:00:00 AM,BX12+,836,175
06/04/2022 07:00:00 PM,BX12+,679,99
04/30/2022 08:00:00 AM,BX12+,738,94
06/29/2024 11:00:00 PM,BX12+,31,7
03/29/2023 05:00:00 PM,BX12+,1268,255
05/22/2024 11:00:00 PM,BX12+,9,3
05/17/2021 04:00:00 PM,BX12+,1314,241
11/18/2023 11:00:00 PM,BX12+,24,2
07/13/2023 06:00:00 AM,BX12+,986,165
06/09/2021 10:00:00 PM,BX12+,138,25
12/23/2020 12:00:00 AM,BX12+,1,0
05/24/2022 03:00:00 AM,BX12+,0,0
11/20/2021 02:00:00 PM,BX12+,1095,175
05/21/2022 10:00:00 AM,BX12+,829,172
11/17/2020 06:00:00 PM,BX12+,784,140
11/07/2021 11:00:00 AM,BX12+,711,128
09/19/2023 06:00:00 AM,BX12+,984,137
02/06/2024 04:00:00 PM,BX12+,848,165
12/01/2020 08:00:00 PM,BX12+,378,58
12/21/2021 03:00:00 AM,BX12+,0,0
10/27/2023 08:00:00 PM,BX12+,307,55
05/28/2022 01:00:00 AM,BX12+,0,0
09/18/2023 04:00:00 AM,BX12+,0,0
11/07/2024 12:00:00 PM,BX12+,701,169
07/05/2023 01:00:00 AM,BX12+,0,0
11/07/2023 05:00:00 AM,BX12+,148,19
12/11/2020 06:00:00 AM,BX12+,841,124
05/15/2023 12:00:00 PM,BX12+,807,175
12/20/2023 07:00:00 PM,BX12+,391,64
03/26/2022 09:00:00 PM,BX12+,245,31
10/05/2021 04:00:00 AM,BX12+,0,0
03/27/2023 11:00:00 AM,BX12+,793,174
03/30/2024 10:00:00 PM,BX12+,77,11
02/01/2021 01:00:00 PM,BX12+,246,36
11/28/2024 01:00:00 PM,BX12+,328,62
08/22/2022 07:00:00 PM,BX12+,482,88
12/21/2023 08:00:00 AM,BX12+,1010,205
03/22/2024 11:00:00 AM,BX12+,632,125
08/29/2021 11:00:00 PM,BX12+,52,11
09/06/2023 09:00:00 PM,BX12+,232,38
07/10/2023 02:00:00 PM,BX12+,948,172
01/28/2021 04:00:00 AM,BX12+,0,0
03/02/2021 05:00:00 PM,BX12+,1100,213
06/26/2021 03:00:00 PM,BX12+,973,166
08/21/2024 09:00:00 PM,BX12+,114,15
11/27/2024 11:00:00 PM,BX12+,16,2
10/21/2020 07:00:00 AM,BX12+,1504,231
10/12/2020 12:00:00 AM,BX12+,0,0
06/08/2022 06:00:00 PM,BX12+,932,188
03/03/2021 02:00:00 AM,BX12+,0,0
05/20/2021 10:00:00 PM,BX12+,141,15
08/29/2022 08:00:00 PM,BX12+,444,67
07/07/2024 06:00:00 PM,BX12+,313,54
09/24/2024 08:00:00 AM,BX12+,1217,231
04/07/2022 12:00:00 AM,BX12+,0,0
09/26/2024 03:00:00 PM,BX12+,875,145
07/28/2021 06:00:00 PM,BX12+,936,160
05/22/2024 08:00:00 PM,BX12+,269,42
04/27/2021 09:00:00 PM,BX12+,289,35
09/28/2021 09:00:00 AM,BX12+,1153,240
08/08/2021 12:00:00 PM,BX12+,663,120
05/15/2021 01:00:00 PM,BX12+,1035,211
11/26/2020 03:00:00 PM,BX12+,591,96
09/13/2020 09:00:00 PM,BX12+,174,24
04/20/2024 11:00:00 AM,BX12+,529,123
08/03/2024 05:00:00 PM,BX12+,240,25
06/26/2024 11:00:00 AM,BX12+,567,121
03/11/2022 10:00:00 PM,BX12+,130,21
12/11/2023 04:00:00 PM,BX12+,863,131
11/09/2023 10:00:00 PM,BX12+,79,14
06/23/2024 08:00:00 PM,BX12+,157,21
01/12/2023 04:00:00 AM,BX12+,0,0
01/26/2021 08:00:00 AM,BX12+,1360,238
09/12/2022 09:00:00 PM,BX12+,225,38
12/13/2023 10:00:00 PM,BX12+,73,8
09/15/2020 02:00:00 AM,BX12+,0,0
03/05/2022 05:00:00 AM,BX12+,11,0
05/31/2021 01:00:00 PM,BX12+,1021,183
05/15/2023 04:00:00 AM,BX12+,1,0
03/31/2023 08:00:00 PM,BX12+,401,67
08/01/2021 11:00:00 AM,BX12+,629,127
02/21/2023 03:00:00 PM,BX12+,1149,244
07/10/2022 12:00:00 AM,BX12+,1,0
02/02/2023 06:00:00 AM,BX12+,917,122
04/23/2023 07:00:00 PM,BX12+,347,49
12/17/2021 05:00:00 PM,BX12+,1152,199
08/23/2023 10:00:00 AM,BX12+,716,170
10/12/2022 09:00:00 AM,BX12+,1044,212
09/24/2020 01:00:00 PM,BX12+,973,195
