transit_timestamp,bus_route,ridership,transfers
08/06/2025 02:00:00 PM,BX12+,1971,458
07/09/2025 03:00:00 AM,BX12+,0,0
04/01/2025 04:00:00 PM,BX12+,1208,271
02/14/2025 04:00:00 PM,BX12+,929,194
07/14/2025 04:00:00 AM,BX12+,0,0
02/11/2025 03:00:00 PM,BX12+,1258,270
05/24/2025 05:00:00 AM,BX12+,30,8
03/27/2025 03:00:00 AM,BX12+,0,0
05/25/2025 07:00:00 PM,BX12+,674,124
02/26/2025 08:00:00 PM,BX12+,249,47
01/12/2025 05:00:00 AM,BX12+,4,0
04/11/2025 02:00:00 AM,BX12+,0,0
07/20/2025 12:00:00 PM,BX12+,1072,240
05/13/2025 12:00:00 AM,BX12+,15,6
03/11/2025 05:00:00 PM,BX12+,1093,243
03/05/2025 06:00:00 AM,BX12+,939,158
06/22/2025 02:00:00 PM,BX12+,1339,288
07/07/2025 10:00:00 AM,BX12+,1322,306
07/04/2025 11:00:00 PM,BX12+,60,26
03/20/2025 04:00:00 PM,BX12+,1135,248
07/21/2025 08:00:00 AM,BX12+,3019,747
07/28/2025 11:00:00 PM,BX12+,24,6
07/28/2025 09:00:00 PM,BX12+,302,72
05/03/2025 09:00:00 PM,BX12+,385,70
03/22/2025 11:00:00 PM,BX12+,29,9
06/16/2025 08:00:00 AM,BX12+,2876,662
02/18/2025 05:00:00 AM,BX12+,117,14
06/20/2025 11:00:00 AM,BX12+,1336,298
04/25/2025 03:00:00 PM,BX12+,1091,226
08/25/2025 10:00:00 PM,BX12+,129,52
05/24/2025 08:00:00 AM,BX12+,1235,274
07/08/2025 06:00:00 AM,BX12+,1783,290
04/06/2025 01:00:00 AM,BX12+,0,0
06/11/2025 03:00:00 PM,BX12+,2457,454
07/11/2025 03:00:00 AM,BX12+,0,0
06/09/2025 07:00:00 PM,BX12+,909,200
04/04/2025 08:00:00 PM,BX12+,340,61
06/17/2025 08:00:00 AM,BX12+,2739,576
08/07/2025 03:00:00 AM,BX12+,0,0
08/29/2025 08:00:00 AM,BX12+,1309,354
01/01/2025 01:00:00 PM,BX12+,306,63
01/20/2025 02:00:00 AM,BX12+,0,0
01/09/2025 11:00:00 AM,BX12+,421,78
06/09/2025 06:00:00 PM,BX12+,1349,356
05/24/2025 11:00:00 AM,BX12+,1300,319
09/02/2025 02:00:00 PM,BX12+,0,0
06/20/2025 10:00:00 AM,BX12+,1428,330
08/08/2025 09:00:00 AM,BX12+,1800,500
06/14/2025 12:00:00 PM,BX12+,1104,280
05/17/2025 04:00:00 AM,BX12+,0,0
07/18/2025 11:00:00 PM,BX12+,42,8
06/14/2025 10:00:00 AM,BX12+,1089,234
06/01/2025 06:00:00 PM,BX12+,980,214
03/11/2025 08:00:00 PM,BX12+,293,58
01/20/2025 04:00:00 AM,BX12+,0,0
04/16/2025 03:00:00 AM,BX12+,3,1
03/27/2025 08:00:00 PM,BX12+,341,67
07/25/2025 06:00:00 PM,BX12+,1287,317
02/04/2025 02:00:00 AM,BX12+,0,0
