Year,Month,Timestamp,Day of Week,Hour of Day,Route ID,Direction,Borough,Route Type,Stop Order,Timepoint Stop ID,Timepoint Stop Name,Timepoint Stop Latitude,Timepoint Stop Longitude,Next Timepoint Stop ID,Next Timepoint Stop Name,Next Timepoint Stop Latitude,Next Timepoint Stop Longitude,Road Distance,Average Travel Time,Average Road Speed,Bus Trip Count,Timepoint Stop Georeference,Next Timepoint Stop Georeference
2023,3,03/01/2023 10:00:00 PM,Friday,22,BX12+,W,Bronx,SBS,1,802025,BAY PLAZA BL/IFO JC PENNY,40.865989,-73.827298,103255,EDSON AV/BARTOW AV,40.86805,-73.83312,0.723,5.93334,7.31122774019355,5,POINT (-73.827298 40.865989),POINT (-73.83312 40.86805)
2023,3,03/01/2023 09:00:00 PM,Friday,21,BX12+,W,Bronx,SBS,1,802025,BAY PLAZA BL/IFO JC PENNY,40.865989,-73.827298,103255,EDSON AV/BARTOW AV,40.86805,-73.83312,0.723,6.463632,6.711395236875627,22,POINT (-73.827298 40.865989),POINT (-73.83312 40.86805)
2023,5,05/01/2023 07:00:00 PM,Thursday,19,BX12+,W,Bronx,SBS,1,802025,BAY PLAZA BL/IFO JC PENNY,40.865989,-73.827298,103255,EDSON AV/BARTOW AV,40.86805,-73.83312,0.723,6.126126,7.081148516707048,37,POINT (-73.827298 40.865989),POINT (-73.83312 40.86805)
2023,5,05/01/2023 07:00:00 AM,Thursday,7,BX12+,W,Bronx,SBS,1,802025,BAY PLAZA BL/IFO JC PENNY,40.865989,-73.827298,103255,EDSON AV/BARTOW AV,40.86805,-73.83312,0.723,5.905032,7.3462791237148,53,POINT (-73.827298 40.865989),POINT (-73.83312 40.86805)
2023,5,05/01/2023 10:00:00 AM,Thursday,10,BX12+,W,Bronx,SBS,1,802025,BAY PLAZA BL/IFO JC PENNY,40.865989,-73.827298,103255,EDSON AV/BARTOW AV,40.86805,-73.83312,0.723,5.834232,7.43542470809058,37,POINT (-73.827298 40.865989),POINT (-73.83312 40.86805)
2023,5,05/01/2023 08:00:00 AM,Thursday,8,BX12+,W,Bronx,SBS,1,802025,BAY PLAZA BL/IFO JC PENNY,40.865989,-73.827298,103255,EDSON AV/BARTOW AV,40.86805,-73.83312,0.723,5.490426,7.901027545129047,47,POINT (-73.827298 40.865989),POINT (-73.83312 40.86805)
2023,5,05/01/2023 11:00:00 AM,Thursday,11,BX12+,W,Bronx,SBS,1,802025,BAY PLAZA BL/IFO JC PENNY,40.865989,-73.827298,103255,EDSON AV/BARTOW AV,40.86805,-73.83312,0.723,5.80095,7.478082171135046,35,POINT (-73.827298 40.865989),POINT (-73.83312 40.86805)
2023,5,05/01/2023 01:00:00 PM,Thursday,13,BX12+,W,Bronx,SBS,1,802025,BAY PLAZA BL/IFO JC PENNY,40.865989,-73.827298,103255,EDSON AV/BARTOW AV,40.86805,-73.83312,0.723,6.394872,6.783561633289755,39,POINT (-73.827298 40.865989),POINT (-73.83312 40.86805)
2023,5,05/01/2023 09:00:00 AM,Thursday,9,BX12+,W,Bronx,SBS,1,802025,BAY PLAZA BL/IFO JC PENNY,40.865989,-73.827298,103255,EDSON AV/BARTOW AV,40.86805,-73.83312,0.723,5.66286,7.66044244996116,35,POINT (-73.827298 40.865989),POINT (-73.83312 40.86805)
2023,5,05/01/2023 08:00:00 PM,Thursday,20,BX12+,W,Bronx,SBS,1,802025,BAY PLAZA BL/IFO JC PENNY,40.865989,-73.827298,103255,EDSON AV/BARTOW AV,40.86805,-73.83312,0.723,6.044232,7.177091036959461,26,POINT (-73.827298 40.865989),POINT (-73.83312 40.86805)
